Graduation,Major,International,Affiliated,Varsity,NumberClubs,Academic,Cultural,Sports,MusicArts,Awareness,CommunityService,Religious,Paid,Greek,Other,Type
2020,CS- Computer Science,0,1,1,3,1,0,0,0,0,0,0,1,1,0,"Academic (Honor societies, Model UN, Robotics Club, SWE, etc.), Paid Involvement (Crimson Key, RA, CA, etc.), Greek Life (Fraternity or Sorority)"
2020,RBE- Robotics Engineering,0,1,0,6,1,0,1,0,0,0,0,1,1,1,"Academic (Honor societies, Model UN, Robotics Club, SWE, etc.), Sports (Club Sports, Sailing, Running Club, Table Tennis, etc.), Paid Involvement (Crimson Key, RA, CA, etc.), Greek Life (Fraternity or Sorority), Other Extracurriculars (ie. Soccomm, RHC, SAS, Cheese Club, etc.)"
2023,BME- Biomedical Engineering,0,1,0,4,1,0,1,0,0,0,0,0,1,0,"Academic (Honor societies, Model UN, Robotics Club, SWE, etc.), Sports (Club Sports, Sailing, Running Club, Table Tennis, etc.), Greek Life (Fraternity or Sorority)"
2021,BBT- Biology/Biotechnology,0,1,0,4,1,0,0,0,0,0,0,0,1,1,"Academic (Honor societies, Model UN, Robotics Club, SWE, etc.), Greek Life (Fraternity or Sorority), Other Extracurriculars (ie. Soccomm, RHC, SAS, Cheese Club, etc.)"
2020,CEE- Civil & Environmental Engineering,0,1,0,2,0,0,0,0,0,0,0,0,1,1,"Greek Life (Fraternity or Sorority), Other Extracurriculars (ie. Soccomm, RHC, SAS, Cheese Club, etc.)"
2022,CS- Computer Science,0,1,0,3,0,0,1,0,0,1,0,0,1,0,"Sports (Club Sports, Sailing, Running Club, Table Tennis, etc.), Community Service (CAC, Habitat, etc.), Greek Life (Fraternity or Sorority)"
2023,CBC- Chemistry & Biochemistry,0,1,0,2,1,0,0,0,0,0,0,0,1,0,"Academic (Honor societies, Model UN, Robotics Club, SWE, etc.), Greek Life (Fraternity or Sorority)"
2021,CEE- Civil & Environmental Engineering,0,1,0,2,1,0,0,0,0,1,0,0,0,0,"Academic (Honor societies, Model UN, Robotics Club, SWE, etc.), Community Service (CAC, Habitat, etc.)"
2020,BME- Biomedical Engineering,0,1,0,4,1,0,0,0,1,0,0,0,1,1,"Academic (Honor societies, Model UN, Robotics Club, SWE, etc.), Awareness (Green team, Alliance, political clubs, etc.), Greek Life (Fraternity or Sorority), Other Extracurriculars (ie. Soccomm, RHC, SAS, Cheese Club, etc.)"
2021,MA- Mathmatical Sciences,0,0,0,5,1,0,1,0,0,0,0,1,0,1,"Academic (Honor societies, Model UN, Robotics Club, SWE, etc.), Sports (Club Sports, Sailing, Running Club, Table Tennis, etc.), Paid Involvement (Crimson Key, RA, CA, etc.), Other Extracurriculars (ie. Soccomm, RHC, SAS, Cheese Club, etc.)"
